GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
United States,2.7,1.6,2.3,2.1,2.5,2.9,1.8,2.5,3.0,2.6,6.1,2.5,2.9
Alabama,2.7,1.0,1.1,1.6,-0.4,1.4,1.9,1.8,1.9,2.0,5.1,2.1,2.8
Alaska,-2.4,0.7,5.6,-4.3,-2.4,0.7,-0.4,0.2,-2.0,-0.2,2.2,-1.3,6.5
Arizona,1.7,2.9,2.3,0.6,1.0,2.3,3.4,4.4,4.0,3.8,8.2,3.8,3.0
Arkansas,2.9,2.0,1.2,2.8,1.3,0.1,1.2,0.7,2.0,0.7,7.1,1.5,2.4
California,2.0,1.8,2.9,3.8,3.8,4.8,3.1,4.5,4.0,4.2,7.5,0.9,2.0
Colorado,1.4,1.6,1.9,4.2,4.6,4.8,2.2,3.7,4.3,5.1,6.9,3.0,4.4
Connecticut,0.5,-2.0,0.8,-1.8,0.7,3.2,-0.3,2.1,0.3,0.2,3.5,3.4,2.7
Delaware,-1.3,4.1,-0.8,-2.7,7.7,3.0,-5.6,-3.3,1.9,5.3,3.0,3.3,1.1
District of Columbia,4.1,1.9,0.8,0.4,2.2,1.8,2.4,1.6,2.8,0.6,4.0,1.0,1.0
Florida,1.4,-0.3,1.0,2.6,2.9,4.4,3.5,3.7,3.5,3.3,9.4,5.9,4.3
Georgia,1.6,2.0,1.6,2.2,3.5,4.4,4.0,3.9,3.0,3.3,6.3,3.5,1.9
Hawaii,2.7,1.4,2.0,2.3,1.0,3.1,2.2,2.1,1.6,0.0,5.7,2.9,2.0
Idaho,2.2,0.1,-1.1,4.5,3.1,1.5,3.9,3.5,6.5,4.5,7.6,4.4,3.2
Illinois,2.0,2.2,2.4,0.6,2.0,1.7,0.1,0.8,2.2,0.8,5.6,2.4,1.0
Indiana,7.0,0.2,0.7,2.9,3.2,-0.8,2.1,2.6,3.1,0.5,7.6,3.1,1.3
Iowa,3.1,1.8,3.9,0.1,5.4,3.1,0.4,0.2,1.1,-0.4,8.0,0.2,0.2
Kansas,1.4,2.8,1.5,0.4,2.3,2.9,3.8,1.0,2.1,-0.1,2.8,2.7,3.6
Kentucky,4.8,0.9,1.9,2.4,0.0,1.4,0.8,1.3,1.2,2.8,4.4,2.1,2.1
Louisiana,4.8,-4.8,0.5,-2.4,2.8,-1.4,-1.7,1.8,2.2,0.6,3.9,-0.4,5.0
Maine,2.0,-0.9,-0.4,-0.3,1.0,1.6,2.4,1.6,2.9,3.0,5.5,2.7,3.0
Maryland,4.9,2.1,0.4,0.8,1.6,2.3,3.5,2.0,0.7,0.0,4.7,2.3,1.6
Massachusetts,4.8,2.2,2.2,0.8,1.9,3.7,1.4,1.6,3.6,3.1,6.5,2.0,1.2
Michigan,6.0,2.9,2.1,2.0,1.4,2.3,1.9,1.0,2.3,0.8,5.7,2.5,1.9
Minnesota,3.8,2.3,1.9,2.7,2.7,2.0,1.5,1.2,2.8,1.3,5.7,1.8,1.6
Mississippi,1.3,-0.2,2.0,0.4,0.2,0.1,0.5,0.3,-0.1,0.9,4.9,0.8,2.6
Missouri,2.2,-1.0,1.2,1.9,0.5,1.4,0.1,0.9,0.9,2.3,5.2,2.4,2.6
Montana,3.7,2.5,1.8,1.8,2.3,3.5,-1.2,2.7,2.0,1.6,6.6,3.5,3.9
Nebraska,4.0,5.6,0.0,1.5,3.8,3.4,1.4,1.6,1.9,1.6,6.5,3.3,4.0
Nevada,1.6,1.2,-0.9,1.1,0.5,4.0,3.3,4.6,3.3,4.4,9.9,4.4,2.6
New Hampshire,3.5,0.7,0.8,1.9,1.8,3.2,1.8,0.5,1.3,2.6,8.2,1.6,2.2
New Jersey,1.5,-1.1,2.2,1.8,0.0,1.9,1.0,0.5,2.8,1.9,5.9,2.8,2.1
New Mexico,-0.1,-0.2,0.2,-0.7,2.8,1.0,-0.5,0.2,3.1,4.4,3.4,2.4,6.8
New York,3.8,0.6,3.9,0.4,2.2,2.0,1.6,2.2,2.5,2.4,4.8,1.7,1.5
North Carolina,1.8,0.5,0.8,1.9,2.5,3.0,2.1,2.0,1.8,2.0,6.3,3.2,3.0
North Dakota,7.6,11.9,23.2,2.6,10.1,-2.5,-6.7,3.2,3.5,1.5,1.0,-0.8,7.8
Ohio,2.3,2.9,1.1,2.8,3.6,1.3,0.8,2.2,0.6,2.7,5.4,0.7,2.1
Oklahoma,0.8,3.7,5.0,2.4,6.0,3.9,-1.9,1.3,1.8,2.1,1.3,-0.1,7.2
Oregon,2.1,2.9,0.7,1.2,3.3,5.0,4.5,5.0,3.9,2.3,5.4,2.3,2.3
Pennsylvania,3.3,1.4,1.9,2.2,2.1,2.2,1.5,1.3,1.3,1.0,4.0,1.8,2.5
Rhode Island,2.9,0.0,0.8,1.0,1.0,1.4,0.4,0.2,-0.1,2.4,4.4,2.4,1.6
South Carolina,2.6,2.4,1.1,2.4,3.0,3.5,3.4,2.0,3.0,3.2,5.2,3.6,3.1
South Dakota,1.3,6.3,2.1,-0.1,2.1,2.5,0.8,0.7,0.6,1.1,5.2,-0.5,3.6
Tennessee,1.9,3.0,3.4,2.1,1.7,3.6,2.4,3.5,2.0,2.2,8.8,3.6,1.8
Texas,2.9,3.6,5.0,5.1,3.2,4.8,0.0,2.0,4.8,3.4,5.9,3.9,7.4
Utah,2.1,3.4,1.7,3.1,3.5,3.6,4.6,5.9,5.8,5.9,8.1,3.3,3.7
Vermont,4.5,2.5,0.7,-1.3,1.1,0.6,0.8,0.9,0.7,1.6,4.6,3.1,1.4
Virginia,3.4,0.8,0.7,1.2,0.0,2.1,1.2,2.0,2.4,2.5,5.8,2.7,2.9
Washington,3.2,2.0,3.6,3.1,3.8,4.5,4.0,6.3,6.6,4.8,6.9,2.2,5.1
West Virginia,1.3,1.9,-0.1,1.1,0.2,0.2,-1.0,2.3,3.0,-0.3,1.6,1.9,4.7
Wisconsin,3.7,2.1,1.8,0.9,2.6,2.0,1.1,0.8,2.2,1.3,3.7,1.6,1.4
Wyoming,-3.6,-0.5,-2.2,0.9,2.3,2.0,-5.5,-0.6,0.9,1.6,2.6,1.9,6.3
New England,3.1,0.6,1.4,0.0,1.4,3.1,1.0,1.6,2.2,2.2,5.6,2.4,1.8
Mideast,3.3,0.8,2.5,1.0,1.8,2.0,1.5,1.5,2.1,1.7,4.7,2.0,1.8
Great Lakes,3.7,2.2,1.7,1.7,2.5,1.4,1.0,1.4,2.0,1.3,5.6,2.0,1.5
Plains,3.0,2.2,2.6,1.6,2.9,2.1,0.9,1.1,1.9,1.1,5.4,1.8,2.5
Southeast,2.3,0.6,1.3,1.7,2.0,2.8,2.2,2.6,2.5,2.5,6.8,3.5,3.1
Southwest,2.4,3.3,4.4,4.0,3.1,4.2,0.3,2.2,4.3,3.4,5.8,3.5,6.7
Rocky Mountain,1.4,1.8,1.2,3.5,3.9,3.9,2.2,3.9,4.6,4.8,7.1,3.2,4.1
Far West,2.1,1.8,2.7,3.2,3.4,4.6,3.2,4.6,4.2,4.0,7.3,1.4,2.6