GeoName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
United States,16349110.0,16789750.0,17052410.0,17442759.0,17812167.0,18261714.0,18799622.0,19141672.0,19612102.0,20193896.0,20715671.0,21494798.0,22034828.0,22671096.0
Alabama,194192.1,199455.0,201372.8,203675.5,206962.9,206070.0,208950.3,212862.8,216615.5,220808.8,225272.8,233726.6,238556.5,245354.7
Alaska,54951.9,53652.0,54045.5,57087.4,54627.6,53303.3,53681.1,53463.9,53550.9,52479.6,52377.5,51454.1,50767.1,54059.7
Arizona,277412.4,282252.5,290411.3,297077.3,298859.9,301721.2,308582.8,319008.4,333099.0,346398.3,359576.7,395035.9,410228.4,422399.6
Arkansas,109833.1,113000.9,115241.8,116616.2,119842.8,121409.4,121532.5,123034.9,123882.6,126371.2,127220.0,137463.6,139560.7,142860.6
California,2110679.4,2153852.8,2192887.2,2255437.3,2340335.3,2428675.7,2545979.5,2623711.7,2740550.3,2850970.3,2969609.0,3154188.6,3184007.8,3248656.6
Colorado,275659.1,279385.6,283963.8,289339.5,301484.1,315399.0,330526.1,337685.2,350209.1,365204.5,383725.6,406451.9,418818.8,437056.0
Connecticut,265530.8,266773.4,261555.8,263649.9,258911.0,260605.8,268869.8,268196.2,273875.1,274582.8,275225.4,269838.7,278975.9,286628.4
Florida,840480.6,851956.4,849395.3,857861.3,880183.5,905648.5,945929.0,978989.7,1014866.9,1050433.8,1084913.9,1170526.3,1239883.6,1292787.6
Georgia,464016.8,471588.2,481215.4,489027.3,499900.2,517511.9,540108.5,561718.3,583543.3,600934.7,620744.9,643013.8,665678.1,678201.2
Idaho,61276.1,62626.4,62704.0,62007.3,64769.8,66784.9,67790.5,70442.5,72935.1,77652.1,81144.3,88969.6,92903.7,95897.9
Illinois,740794.3,755391.4,772225.6,790723.3,795435.2,811490.1,825424.9,826404.7,832826.8,851517.2,858018.3,855888.1,876536.0,885651.3
Indiana,299789.0,320731.8,321532.8,323876.2,333207.4,343827.8,341205.2,348439.2,357535.8,368762.9,370507.2,387122.0,399280.8,404290.3
Iowa,156737.2,161593.1,164559.3,170923.7,171069.1,180309.9,185989.2,186729.9,187125.0,189245.1,188471.4,201147.1,201580.4,202051.4
Kansas,141902.5,143870.1,147836.8,150077.1,150702.9,154110.1,158602.6,164643.7,166273.6,169796.9,169562.3,172782.4,177470.1,183795.6
Kentucky,178112.8,186720.6,188389.8,192060.1,196698.0,196795.8,199487.1,201007.2,203564.0,205940.1,211783.1,215133.2,219755.6,224418.0
Louisiana,241868.8,253466.9,241235.9,242416.8,236482.3,243042.9,239584.1,235554.2,239830.7,245220.3,246674.4,237839.2,236854.1,248615.5
Maine,58771.8,59958.5,59429.7,59181.7,59013.9,59589.8,60563.0,62037.1,63000.6,64806.3,66758.4,71142.4,73036.2,75195.4
Maryland,336285.8,352622.9,360155.9,361561.8,364633.2,370343.9,378745.9,391950.9,399714.5,402480.9,402506.2,406953.1,416406.2,422866.3
Massachusetts,441307.6,462330.8,472664.3,483286.3,486991.8,496250.9,514398.7,521662.8,530129.4,549262.1,566326.8,595911.8,608052.9,615504.5
Michigan,416297.1,441271.5,453989.1,463302.6,472779.9,479534.9,490618.7,500159.5,505101.5,516843.0,521085.1,530380.9,543720.9,554256.2
Minnesota,296875.2,308091.9,315213.3,321053.9,329774.5,338623.9,345456.2,350603.6,354721.9,364799.7,369617.4,377947.0,384727.7,390907.9
Mississippi,105360.0,106711.8,106491.1,108646.5,109032.7,109299.6,109401.7,109911.0,110281.4,110174.8,111207.8,115675.1,116557.1,119548.4
Missouri,289566.8,295986.4,292984.2,296514.3,302025.7,303617.8,308009.9,308423.3,311273.8,314182.4,321329.1,331580.9,339652.4,348487.4
Montana,40938.4,42469.8,43532.2,44329.1,45114.7,46166.7,47765.6,47189.6,48470.5,49455.0,50263.5,53303.7,55193.9,57373.3
Nebraska,99986.4,103940.8,109734.2,109686.3,111382.2,115651.9,119640.8,121303.1,123219.9,125543.4,127568.9,134939.9,139440.9,145019.6
Nevada,140304.3,142614.2,144341.2,142986.1,144549.3,145303.6,151055.9,156007.4,163199.1,168638.5,176029.7,182474.1,190463.3,195405.6
New Hampshire,70498.6,72950.4,73465.0,74082.8,75503.4,76836.2,79319.3,80736.1,81179.6,82269.5,84438.2,89949.3,91416.1,93466.7
New Jersey,546362.2,554764.4,548479.3,560729.7,570952.4,570696.4,581414.9,587049.7,590086.7,606892.2,618691.0,632463.3,650235.8,663888.5
New Mexico,90829.2,90721.0,90552.3,90762.4,90104.0,92621.1,93503.9,93043.5,93210.1,96077.0,100342.2,100917.6,103301.6,110323.7
New York,1379504.6,1431624.0,1440346.8,1496280.1,1501818.0,1535375.9,1565835.2,1590567.8,1624800.7,1665186.8,1704364.3,1736222.3,1765102.1,1791210.7
North Carolina,473610.5,482030.4,484200.3,488126.5,497456.6,509782.4,525229.1,536308.5,546810.1,556573.7,567975.0,600217.3,619537.2,638067.3
Ohio,550982.4,563816.3,580251.4,586540.9,603057.4,624973.4,633274.8,638157.5,652187.5,656212.0,674063.9,690478.9,695257.9,709816.6
Oklahoma,156856.8,158086.4,163859.3,172016.0,176086.8,186574.4,193792.6,190093.5,192538.6,196030.5,200072.2,194132.8,193940.5,207923.3
Oregon,176951.6,180738.2,185959.4,187352.4,189609.7,195808.2,205581.8,214769.3,225534.5,234308.3,239794.8,250325.8,256062.7,261951.5
Pennsylvania,645206.7,666805.8,676468.3,689007.0,704195.0,718691.6,734145.1,744847.1,754318.0,763855.4,771852.5,765508.8,779360.6,799228.8
South Carolina,184081.3,188777.2,193221.0,195406.1,200147.3,206077.9,213212.4,220559.3,224937.6,231663.3,239021.3,245752.1,254504.5,262298.5
South Dakota,44255.8,44810.7,47630.3,48653.9,48610.1,49640.9,50860.8,51264.3,51615.1,51937.8,52510.2,55515.9,55259.8,57275.1
Tennessee,287308.8,292687.0,301508.9,311754.2,318347.9,323879.6,335461.1,343544.9,355417.5,362363.7,370197.4,400243.6,414470.8,422087.7
Texas,1285560.2,1323059.1,1370174.9,1438354.4,1511806.5,1559636.1,1634127.1,1633863.3,1667313.0,1746543.3,1806736.1,1879101.3,1952708.6,2097090.4
Utah,130958.6,133739.1,138301.1,140622.5,145026.9,150076.3,155431.5,162528.2,172075.0,182106.0,192760.6,210446.9,217442.5,225459.4
Virginia,460075.3,475699.3,479571.4,483041.4,488741.3,488918.6,498943.6,505107.7,515167.2,527767.5,541028.0,565470.6,580475.2,597597.1
Washington,390814.0,403471.3,411575.7,426447.0,439472.2,456186.5,476715.4,495724.9,527169.4,561785.7,588794.4,630051.5,644075.1,677238.0
West Virginia,70886.5,71823.8,73175.2,73124.5,73949.0,74111.3,74261.4,73513.3,75172.4,77406.5,77162.2,75765.1,77188.0,80798.2
Wisconsin,277279.4,287652.9,293664.0,299007.6,301550.5,309425.8,315687.8,319272.3,321886.8,328832.4,333256.8,334514.0,339747.9,344570.8