GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,12370299.0,12924876.0,13543774.0,14096033.0,14230726.0,14472712.0,14877312.0,15449757.0,15987957.0,16433148.0,16762445.0,16781485.0,16349110.0,16789750.0,17052410.0,17442759.0,17812167.0,18261714.0,18799622.0,19141672.0,19612102.0,20193896.0,20715671.0,20267585.0,21494798.0,22034828.0,22671096.0,23305023.0
Alabama,154700.0,160396.4,166531.8,168695.3,168448.3,172430.4,178040.0,189913.7,197246.5,199923.9,202025.5,200967.4,194192.1,199455.0,201372.8,203675.5,206962.9,206070.0,208950.3,212862.8,216615.5,220808.8,225272.8,222288.8,233726.6,238556.5,245354.7,252664.5
Alaska,41071.0,40263.7,39783.1,38428.1,40014.4,41904.7,41235.0,42880.1,44406.8,47546.2,50126.7,49926.6,54951.9,53652.0,54045.5,57087.4,54627.6,53303.3,53681.1,53463.9,53550.9,52479.6,52377.5,50332.8,51454.1,50767.1,54059.7,54881.0
Arizona,180293.9,197492.1,214293.9,224729.3,230885.6,238257.1,253743.1,264990.0,283806.2,296424.4,306611.6,302277.9,277412.4,282252.5,290411.3,297077.3,298859.9,301721.2,308582.8,319008.4,333099.0,346398.3,359576.7,365027.7,395035.9,410228.4,422399.6,433763.2
Arkansas,87180.3,89905.3,94756.9,95509.8,95528.7,98556.6,102948.0,108581.8,112451.1,114890.4,114026.7,113628.0,109833.1,113000.9,115241.8,116616.2,119842.8,121409.4,121532.5,123034.9,123882.6,126371.2,127220.0,128340.9,137463.6,139560.7,142860.6,148208.5
California,1441226.4,1538612.3,1655438.5,1784320.6,1784567.7,1821509.5,1895287.6,1956745.5,2042141.0,2120435.4,2168940.4,2192331.8,2110679.4,2153852.8,2192887.2,2255437.3,2340335.3,2428675.7,2545979.5,2623711.7,2740550.3,2850970.3,2969609.0,2933320.2,3154188.6,3184007.8,3248656.6,3365083.3
Colorado,189445.6,206449.1,221040.8,238739.3,242650.1,243701.9,246017.4,250069.3,261992.9,268190.8,278733.8,281803.3,275659.1,279385.6,283963.8,289339.5,301484.1,315399.0,330526.1,337685.2,350209.1,365204.5,383725.6,380188.8,406451.9,418818.8,437056.0,445302.4
Connecticut,205965.2,212255.0,218860.0,233874.2,236338.1,234307.3,236719.1,252680.8,258203.7,269478.6,278485.4,277793.2,265530.8,266773.4,261555.8,263649.9,258911.0,260605.8,268869.8,268196.2,273875.1,274582.8,275225.4,260765.2,269838.7,278975.9,286628.4,294027.6
Delaware,51267.0,56487.0,60866.2,63388.8,65724.8,63702.5,64316.8,67735.5,66381.2,68411.8,68132.4,65771.3,69186.2,68291.9,71103.5,70562.4,68656.8,73961.7,76211.2,71941.4,69555.6,70856.4,74627.8,72506.8,74657.1,77149.2,78014.4,79652.7
District of Columbia,86535.2,88108.1,92096.8,92764.3,96185.3,99014.7,100969.4,106547.2,108884.1,108848.3,112287.6,116213.7,115646.0,120393.2,122636.4,123567.9,124094.8,126883.9,129110.2,132217.8,134298.8,138056.8,138909.7,137640.8,143141.4,144554.6,146024.3,148020.1
Florida,603988.6,634032.3,664152.0,693837.3,714638.0,746252.8,781834.2,833946.8,883164.5,909298.9,922288.3,891766.9,840480.6,851956.4,849395.3,857861.3,880183.5,905648.5,945929.0,978989.7,1014866.9,1050433.8,1084913.9,1069758.8,1170526.3,1239883.6,1292787.6,1339618.6
Georgia,351183.9,377705.9,404465.2,417713.5,422731.6,427329.7,439074.6,461245.4,480838.3,487524.9,492238.7,481860.3,464016.8,471588.2,481215.4,489027.3,499900.2,517511.9,540108.5,561718.3,583543.3,600934.7,620744.9,604745.9,643013.8,665678.1,678201.2,701072.8
Hawaii,60620.2,58946.1,59612.1,60745.7,60446.4,62355.2,65623.7,69332.0,72941.9,74892.9,76434.1,76830.2,74118.5,76130.2,77174.2,78694.0,80534.9,81304.9,83857.6,85670.4,87436.4,88836.4,88855.2,79840.1,84408.5,86887.8,88614.3,90280.2
Idaho,38816.3,40879.3,44821.5,49793.0,48695.4,49840.5,51542.6,55137.1,59331.9,60738.6,61812.1,63878.2,61276.1,62626.4,62704.0,62007.3,64769.8,66784.9,67790.5,70442.5,72935.1,77652.1,81144.3,82717.4,88969.6,92903.7,95897.9,99603.0
Illinois,619325.8,639642.7,663857.8,687111.4,688404.3,692398.1,703548.8,726139.0,741248.6,759825.7,769571.6,759095.3,740794.3,755391.4,772225.6,790723.3,795435.2,811490.1,825424.9,826404.7,832826.8,851517.2,858018.3,810200.9,855888.1,876536.0,885651.3,895342.5
Indiana,244848.3,260549.9,268864.3,278990.4,273884.4,280723.0,293045.2,303819.8,306344.6,312525.5,322661.7,322384.3,299789.0,320731.8,321532.8,323876.2,333207.4,343827.8,341205.2,348439.2,357535.8,368762.9,370507.2,359787.3,387122.0,399280.8,404290.3,419472.8
Iowa,120232.5,121031.0,123683.4,129323.4,128077.5,131035.2,137476.9,149063.2,153626.8,155704.5,162838.1,160469.1,156737.2,161593.1,164559.3,170923.7,171069.1,180309.9,185989.2,186729.9,187125.0,189245.1,188471.4,186328.2,201147.1,201580.4,202051.4,201096.8
Kansas,108792.9,112625.7,115486.4,118840.9,119474.1,121050.5,123486.7,124793.2,129588.2,136135.8,143586.6,147265.0,141902.5,143870.1,147836.8,150077.1,150702.9,154110.1,158602.6,164643.7,166273.6,169796.9,169562.3,168056.8,172782.4,177470.1,183795.6,185720.9
Kentucky,155770.4,160810.1,165761.9,161101.0,161316.4,165435.3,170481.9,175344.6,182017.9,186332.6,185790.0,186515.9,178112.8,186720.6,188389.8,192060.1,196698.0,196795.8,199487.1,201007.2,203564.0,205940.1,211783.1,206049.6,215133.2,219755.6,224418.0,229885.4
Louisiana,202386.5,209356.6,213475.3,206556.1,210534.7,214856.1,223576.0,234620.8,249560.9,247139.7,234216.4,237061.6,241868.8,253466.9,241235.9,242416.8,236482.3,243042.9,239584.1,235554.2,239830.7,245220.3,246674.4,228951.3,237839.2,236854.1,248615.5,256422.3
Maine,46325.0,48138.5,50620.3,52958.5,54066.2,55406.5,56882.4,58934.8,59589.7,59986.0,60032.6,59845.1,58771.8,59958.5,59429.7,59181.7,59013.9,59589.8,60563.0,62037.1,63000.6,64806.3,66758.4,67410.9,71142.4,73036.2,75195.4,77477.5
Maryland,237589.2,248662.9,258913.4,269301.2,281053.6,290400.3,297690.6,311504.8,325644.5,329874.0,331763.5,338165.4,336285.8,352622.9,360155.9,361561.8,364633.2,370343.9,378745.9,391950.9,399714.5,402480.9,402506.2,388782.8,406953.1,416406.2,422866.3,432192.7
Massachusetts,322389.9,335504.4,353837.9,382599.6,388180.8,388451.6,397069.9,407886.0,417075.6,426926.1,440373.8,447526.8,441307.6,462330.8,472664.3,483286.3,486991.8,496250.9,514398.7,521662.8,530129.4,549262.1,566326.8,559765.0,595911.8,608052.9,615504.5,633617.6
Michigan,423459.8,431274.3,457637.6,467654.4,453301.5,465788.4,477085.4,485082.7,493796.3,483763.6,482935.1,455256.7,416297.1,441271.5,453989.1,463302.6,472779.9,479534.9,490618.7,500159.5,505101.5,516843.0,521085.1,501893.8,530380.9,543720.9,554256.2,566033.3
Minnesota,225480.3,237724.0,247004.7,263345.6,263518.7,268982.8,280796.9,293753.9,301761.2,302272.7,304208.0,309290.4,296875.2,308091.9,315213.3,321053.9,329774.5,338623.9,345456.2,350603.6,354721.9,364799.7,369617.4,357475.6,377947.0,384727.7,390907.9,395307.1
Mississippi,88384.3,90960.1,93597.7,93957.0,93515.5,94561.5,98762.1,101369.5,103691.8,105879.9,107713.9,109434.0,105360.0,106711.8,106491.1,108646.5,109032.7,109299.6,109401.7,109911.0,110281.4,110174.8,111207.8,110322.8,115675.1,116557.1,119548.4,122438.1
Missouri,243724.1,249234.0,256290.4,262665.4,260381.1,264997.7,271970.5,279128.2,285341.7,286558.3,288320.8,297881.8,289566.8,295986.4,292984.2,296514.3,302025.7,303617.8,308009.9,308423.3,311273.8,314182.4,321329.1,315332.6,331580.9,339652.4,348487.4,356653.4
Montana,30144.8,31456.1,31633.4,32513.7,32689.6,33663.8,35249.5,36949.9,38849.0,40055.0,42057.7,42049.3,40938.4,42469.8,43532.2,44329.1,45114.7,46166.7,47765.6,47189.6,48470.5,49455.0,50263.5,49981.4,53303.7,55193.9,57373.3,58519.7
Nebraska,73974.1,75750.0,77421.1,80268.2,82268.1,83433.2,88310.7,90607.6,94556.0,97322.8,99780.7,99860.1,99986.4,103940.8,109734.2,109686.3,111382.2,115651.9,119640.8,121303.1,123219.9,125543.4,127568.9,126734.9,134939.9,139440.9,145019.6,145909.4
Nevada,97208.5,102779.4,110091.0,114810.2,116267.3,120180.1,125905.4,139373.0,150680.9,156297.9,157734.3,152745.6,140304.3,142614.2,144341.2,142986.1,144549.3,145303.6,151055.9,156007.4,163199.1,168638.5,176029.7,166077.0,182474.1,190463.3,195405.6,200921.3
New Hampshire,51026.6,54954.5,56913.1,60742.5,61719.4,63474.2,66119.4,68428.1,69556.1,71424.5,71943.5,71195.6,70498.6,72950.4,73465.0,74082.8,75503.4,76836.2,79319.3,80736.1,81179.6,82269.5,84438.2,83152.6,89949.3,91416.1,93466.7,96501.1
New Jersey,454064.1,461237.3,477827.9,503901.5,509631.5,517752.2,529815.9,536174.0,546357.8,555211.0,560823.8,573202.7,546362.2,554764.4,548479.3,560729.7,570952.4,570696.4,581414.9,587049.7,590086.7,606892.2,618691.0,597221.4,632463.3,650235.8,663888.5,678968.4
New Mexico,67993.2,67718.1,71421.0,72733.8,72996.4,75345.9,78766.8,85751.0,86295.9,88554.5,89392.3,89012.9,90829.2,90721.0,90552.3,90762.4,90104.0,92621.1,93503.9,93043.5,93210.1,96077.0,100342.2,97622.4,100917.6,103301.6,110323.7,112800.8
New York,1085934.4,1112323.6,1172149.8,1217036.4,1240755.2,1228580.8,1236563.1,1269433.1,1301438.0,1339568.5,1353798.9,1328095.7,1379504.6,1431624.0,1440346.8,1496280.1,1501818.0,1535375.9,1565835.2,1590567.8,1624800.7,1665186.8,1704364.3,1656784.8,1736222.3,1765102.1,1791210.7,1834560.8
North Carolina,340580.3,351977.9,372030.3,384115.3,387433.9,393685.9,404582.5,420579.4,442305.6,470663.9,477920.8,492688.8,473610.5,482030.4,484200.3,488126.5,497456.6,509782.4,525229.1,536308.5,546810.1,556573.7,567975.0,564504.4,600217.3,619537.2,638067.3,661947.8
North Dakota,22695.3,23971.3,24069.6,24990.2,25329.8,26592.1,28326.7,28636.2,29629.0,30911.4,32529.0,35030.4,35971.3,38697.4,43300.4,53326.8,54690.9,60193.0,58694.5,54756.0,56530.2,58516.4,59408.5,55850.6,56419.2,55988.0,60348.6,59916.0
Ohio,501214.2,518604.0,530745.6,541005.9,534612.4,546688.2,557024.5,572308.5,584867.7,582637.6,585403.0,580389.0,550982.4,563816.3,580251.4,586540.9,603057.4,624973.4,633274.8,638157.5,652187.5,656212.0,674063.9,655243.3,690478.9,695257.9,709816.6,727262.4
Oklahoma,111864.6,114928.1,116968.4,121170.2,125695.7,127930.2,130147.8,134606.6,140360.1,149367.1,152879.6,158987.8,156856.8,158086.4,163859.3,172016.0,176086.8,186574.4,193792.6,190093.5,192538.6,196030.5,200072.2,191560.9,194132.8,193940.5,207923.3,212783.8
Oregon,124840.6,130425.1,133761.7,145094.2,144486.5,147432.8,154445.3,163046.1,168734.4,177222.4,180724.3,184842.6,176951.6,180738.2,185959.4,187352.4,189609.7,195808.2,205581.8,214769.3,225534.5,234308.3,239794.8,237424.2,250325.8,256062.7,261951.5,265146.9
Pennsylvania,521711.8,534933.6,552163.6,566250.9,577677.5,583507.4,598809.5,614957.1,626290.1,626589.9,649638.1,665148.3,645206.7,666805.8,676468.3,689007.0,704195.0,718691.6,734145.1,744847.1,754318.0,763855.4,771852.5,736381.3,765508.8,779360.6,799228.8,818529.4
Rhode Island,43434.7,45381.3,46831.2,49113.6,49705.2,51284.3,52933.1,55160.5,55885.9,57415.8,56230.5,54977.1,54481.5,56050.6,56026.6,56487.4,57037.2,57602.7,58387.9,58630.0,58771.6,58740.1,60157.6,58231.7,60803.0,62279.4,63277.0,65281.5
South Carolina,144972.7,150732.6,157645.5,161880.2,162837.1,167333.0,174270.8,177169.4,183267.5,187386.1,193386.6,192497.1,184081.3,188777.2,193221.0,195406.1,200147.3,206077.9,213212.4,220559.3,224937.6,231663.3,239021.3,233650.1,245752.1,254504.5,262298.5,273324.6
South Dakota,27116.2,28772.1,30038.3,32124.9,32396.9,35776.0,36141.9,37616.6,39330.6,39961.6,41646.2,43278.5,44255.8,44810.7,47630.3,48653.9,48610.1,49640.9,50860.8,51264.3,51615.1,51937.8,52510.2,52770.7,55515.9,55259.8,57275.1,57498.1
Tennessee,226832.8,240963.4,248457.5,251030.2,250311.4,258542.4,267589.4,281564.2,289064.3,295668.2,294819.8,298526.9,287308.8,292687.0,301508.9,311754.2,318347.9,323879.6,335461.1,343544.9,355417.5,362363.7,370197.4,367863.6,400243.6,414470.8,422087.7,432266.2
Texas,860046.9,920059.6,957247.2,989904.9,1020517.0,1042584.4,1052132.3,1111189.1,1143413.1,1225147.3,1288828.7,1287191.5,1285560.2,1323059.1,1370174.9,1438354.4,1511806.5,1559636.1,1634127.1,1633863.3,1667313.0,1746543.3,1806736.1,1773657.1,1879101.3,1952708.6,2097090.4,2172368.5
Utah,86283.5,91312.7,95206.8,98648.5,100244.3,102828.1,104829.2,111318.9,118430.2,127539.4,133799.8,133662.9,130958.6,133739.1,138301.1,140622.5,145026.9,150076.3,155431.5,162528.2,172075.0,182106.0,192760.6,194750.2,210446.9,217442.5,225459.4,235715.5
Vermont,21372.2,22266.5,23561.7,24844.6,25681.8,26522.8,27548.1,28989.2,29283.2,29420.9,29296.6,30168.6,29565.7,30890.6,31663.6,31898.1,31494.6,31847.7,32042.9,32312.7,32589.2,32827.8,33339.4,32252.7,33721.9,34752.6,35236.6,36041.3
Virginia,319992.6,338931.5,356391.8,372914.1,386444.7,390242.4,404522.2,421744.4,442089.5,451263.1,457568.9,462034.7,460075.3,475699.3,479571.4,483041.4,488741.3,488918.6,498943.6,505107.7,515167.2,527767.5,541028.0,534532.3,565470.6,580475.2,597597.1,616057.7
Washington,281522.2,299817.0,322721.6,325857.6,317860.6,321977.1,327645.2,335449.3,358396.3,372145.0,394221.9,401093.2,390814.0,403471.3,411575.7,426447.0,439472.2,456186.5,476715.4,495724.9,527169.4,561785.7,588794.4,589156.8,630051.5,644075.1,677238.0,702034.4
West Virginia,60364.6,61725.7,63691.7,63364.6,63599.8,64465.7,65106.8,66077.6,67888.8,68900.0,69374.1,70966.8,70886.5,71823.8,73175.2,73124.5,73949.0,74111.3,74261.4,73513.3,75172.4,77406.5,77162.2,74553.8,75765.1,77188.0,80798.2,83653.6
Wisconsin,222978.5,232087.1,242026.0,248572.0,252941.8,257966.9,265745.8,275412.4,282065.7,287146.6,289855.2,286204.7,277279.4,287652.9,293664.0,299007.6,301550.5,309425.8,315687.8,319272.3,321886.8,328832.4,333256.8,322470.6,334514.0,339747.9,344570.8,354075.9
Wyoming,24257.7,24804.7,25866.8,26614.2,28338.1,28901.3,29806.6,30780.1,32463.1,36655.6,39504.8,41641.2,40599.6,39135.8,38929.8,38085.0,38408.7,39287.2,40063.9,37853.5,37620.3,37977.2,38577.1,36198.2,37131.8,37827.2,40210.8,40516.2
New England,689814.2,717953.5,750272.1,803964.8,815552.4,819333.7,837234.3,871834.4,889361.4,914340.5,936059.9,941279.2,920013.4,948885.3,954794.9,968580.1,968966.6,982746.2,1013587.5,1023574.2,1039545.4,1062478.0,1086223.7,1061531.8,1121276.2,1148442.2,1169288.3,1202927.8
Mideast,2438052.9,2502639.0,2614464.5,2713231.6,2771541.7,2784056.2,2829745.8,2907954.7,2976619.3,3029492.0,3077936.8,3089355.4,3092498.2,3194703.1,3219506.5,3301294.0,3334509.2,3395872.9,3465391.0,3518584.5,3572774.4,3647342.2,3711064.2,3589546.7,3759180.4,3833059.5,3901561.0,3992266.7
Great Lakes,2012225.1,2082506.9,2163842.2,2223891.3,2203149.1,2243919.0,2296970.5,2363124.3,2408650.1,2425979.7,2450466.5,2403346.0,2284891.9,2368842.3,2421624.4,2463334.0,2505982.4,2569254.7,2606191.6,2632446.9,2669538.3,2722152.2,2756943.5,2649553.3,2798288.6,2854331.0,2898354.6,2961958.9
Plains,820782.0,847987.9,872881.4,910542.9,910419.4,930798.8,965431.8,1002489.7,1032697.3,1047757.6,1071799.7,1092075.7,1064276.0,1096010.4,1120460.1,1149893.6,1167911.5,1202106.7,1227189.3,1237736.4,1250759.3,1274025.8,1288475.9,1262663.1,1330505.9,1354128.6,1388150.7,1402346.5
Southeast,2734719.5,2866446.2,3001079.3,3072356.4,3118856.9,3195086.7,3312051.6,3473548.7,3634909.9,3726096.7,3752274.3,3738925.1,3611267.9,3695420.2,3716013.1,3762626.3,3828029.9,3902765.3,4011954.3,4102066.9,4210089.2,4315633.4,4423102.6,4345697.4,4641104.5,4802786.2,4952758.9,5117774.1
Southwest,1217038.5,1296677.8,1356476.3,1404915.7,1446381.5,1480277.7,1510596.5,1592175.9,1648724.3,1754561.8,1832803.4,1833232.9,1808209.6,1851648.8,1912613.8,1996352.0,2075730.9,2140042.2,2229860.4,2235958.6,2286160.7,2385042.1,2466718.9,2428217.3,2569596.0,2660434.4,2838599.1,2932689.6
Rocky Mountain,368387.0,394624.2,418719.2,447007.7,453118.5,459318.5,467703.7,484373.5,511144.3,533204.6,555985.3,563305.6,549726.5,557538.3,567498.0,574357.6,594720.7,617617.8,641499.1,655672.6,681310.1,712372.1,746428.8,743870.7,796343.1,822215.2,856063.1,879815.0
Far West,2043143.4,2168490.8,2319359.7,2469130.3,2463451.0,2514956.9,2609835.8,2705895.0,2835774.9,2947201.5,3026963.1,3056662.3,2948080.1,3010545.7,3066026.0,3148430.2,3249257.6,3360531.4,3516768.4,3629300.3,3797440.5,3956948.0,4115306.5,4055843.5,4352483.0,4411936.1,4525827.9,4677970.8